"","ORF","AVGEXP_stressed","SD_stressed","CV_stressed","AVGEXP_unstressed","SD_unstressed","CV_unstressed","DM_stressed","FF_stressed","DM_unstressed","FF_unstressed"
"93","Q0010",0,0,NA,0,0,NA,NA,NA,NA,NA
"94","Q0017",0,0,NA,0,0,NA,NA,NA,NA,NA
"95","Q0032",0,0,NA,0,0,NA,NA,NA,NA,NA
"96","Q0045",3.990875,8.28695439523677,2.07647555867743,5.29457831325301,9.91322672742231,1.87233546109012,-0.532777443438719,17.2076582575836,-0.569989659399116,18.5608859355791
"97","Q0050",27.678875,48.0671156306208,1.73659932459758,34.3278313253012,64.5328794821979,1.87989969044838,-0.227795828619323,83.4733205394897,-0.168374504492203,121.315340162327
"98","Q0055",8.725875,19.2537984872261,2.20651779761068,12.7938554216867,37.3381816555747,2.91844642798473,-0.313876034496138,42.4838490336739,-0.0430870637379782,108.969482880157
"99","Q0060",1.323625,7.36571964804149,5.5648084979065,0.60144578313253,3.51790095831485,5.84907410937765,0.235787558969626,40.9888192906181,0.214777925405198,20.5764634146342
"100","Q0065",5.49675,18.7073577737055,3.40334884681047,6.77265060240964,14.6799968502304,2.16754085099376,-0.0406578129902342,63.6676645060114,-0.439768255317682,31.8194928653341
"101","Q0070",1.381375,5.22417039474127,3.78186256066692,1.47228915662651,3.39890058455105,2.30858223009605,-0.0978307655217845,19.7570944264165,-0.584777857165015,7.84664149135763
"102","Q0075",0.4375,1.96064927246569,4.48148405135016,0.200481927710843,1.41089134913347,NA,0.0497804838250206,8.78661844484629,NA,9.92914634146343
"103","Q0080",0,0,NA,0,0,NA,NA,NA,NA,NA
"104","Q0085",0.05,0.447213595499958,NA,0.0751807228915663,0.390591675775146,NA,NA,4,NA,2.02926829268293
"105","Q0092",0,0,NA,0,0,NA,NA,NA,NA,NA
"106","Q0105",0.025,0.223606797749979,NA,0.0501204819277108,0.320903807393688,NA,NA,2,NA,2.05463414634146
"107","Q0110",2.000625,9.57901852002396,4.78801300594762,1.05626506024096,2.93290612177242,2.77667626448171,0.152240977010729,45.8644652580879,-0.403991719239948,8.14373081427858
"108","Q0115",0.175,0.823315310962831,4.70465891978761,0.739277108433735,2.35106503273051,3.18022160555138,0.0900176157453876,3.87341772151899,-0.314481555189744,7.47690781314593
"109","Q0120",1.687125,6.77925693134131,4.01823038087949,2.89614457831325,14.0578577828294,4.8539903318697,-0.00465593492367256,27.2406161613035,0.0757840936579348,68.2367057646531
"110","Q0130",0.25,1.06140580292413,4.24562321169651,0.922048192771084,2.76857353384072,3.00263430430916,-0.00108302919444325,4.50632911392405,-0.351426567548674,8.31301386671257
"111","Q0140",0.05,0.352208223798639,NA,0.200481927710843,1.03310083045602,5.15308707499097,NA,2.48101265822784,0.203504100065726,5.32365853658537
"112","Q0142",0,0,NA,0,0,NA,NA,NA,NA,NA
"113","Q0143",0,0,NA,0,0,NA,NA,NA,NA,NA
"114","Q0144",0,0,NA,0,0,NA,NA,NA,NA,NA
"115","Q0160",1.975,7.16731540582541,3.62902045864578,7.32542168674699,32.0125987508578,4.37006907176066,-0.0940666346648542,26.0103342413075,0.174893129121761,139.897267707808
"116","Q0182",0,0,NA,0,0,NA,NA,NA,NA,NA
"117","Q0250",0.0125,0.111803398874989,NA,0.338313253012048,1.88091623967573,5.55968831528082,NA,0.999999999999999,0.267570288293384,10.4573080397471
"118","Q0255",0,0,NA,0.0501204819277108,0.359666152709208,NA,NA,NA,NA,2.5809756097561
"119","Q0275",0,0,NA,0.0125301204819277,0.114154830389278,NA,NA,NA,NA,1.03999999999999
"120","Q0297",0,0,NA,0,0,NA,NA,NA,NA,NA
"121","YAL001C",99.547875,233.499829212491,2.34560335127687,43.5704819277109,92.7661843338534,2.12910622581051,0.409909809232055,547.697981923397,0.00349298775301021,197.509060609893
"122","YAL002W",70.909875,143.061591042564,2.01751294925515,28.7668674698795,119.700748127414,4.16106300947601,0.141929843625444,288.628612469417,0.469692564431969,498.082355239589
"123","YAL003W",236.329625,312.878408029781,1.32390684422142,737.751204819277,217.756502512177,0.295162516970093,0.211344908596597,414.221865799728,-0.175433515706203,64.2735573680985
"124","YAL004W",0,0,NA,0,0,NA,NA,NA,NA,NA
"125","YAL005C",3104.029,1281.66483166449,0.4129036267588,1218.71795180723,865.729152564133,0.710360548378195,0.095858849657227,529.204057283476,0.65958783050664,614.979835562447
"126","YAL007C",70.266,93.668793414599,1.33305999223805,100.573614457831,124.600828546929,1.23890176582221,-0.227707114041696,124.866121022213,-0.195948684723534,154.368186509701
"127","YAL008W",42.24125,57.0578764656743,1.35076202682625,24.6710843373494,50.6988791671953,2.05499192795684,-0.341390070372359,77.071612861176,-0.213228618557207,104.185787445045
"128","YAL009W",30.0135,59.2764528803466,1.9749930158211,31.48,130.165957765368,4.13487794680331,-0.116224098153047,117.070580441333,0.513594209557434,538.220348188552
"129","YAL010C",20.5515,63.276602372821,3.07892866081897,8.20939759036145,40.4394164558691,4.92599073327238,0.120255606886045,194.824144604924,0.265573905857513,199.204190720553
"130","YAL011W",27.457125,157.8251259231,5.7480572318879,13.6750602409639,50.6822730681053,3.7061828010297,0.785723223750104,907.187856435895,0.22360726041304,187.837768762102
"131","YAL012W",375.81725,318.527474259544,0.847559483391314,525.829277108434,334.609307284514,0.636345905128277,0,269.970981529359,0.0214343591601284,212.92726250831
"132","YAL013W",20.6545,37.1335456140862,1.79784287269535,8.82024096385542,21.8724139642645,2.47979778034362,-0.329941543646457,66.7602803201926,-0.330079267005786,54.23916359934
"133","YAL014C",58.91975,71.7280226293494,1.21738504710813,50.5612048192771,98.2275501490637,1.94274544090004,-0.413837394975495,87.3206222076036,0,190.831125222873
"134","YAL015C",38.353375,70.1097345656811,1.82799387448122,16.2343373493976,33.4136100937112,2.05820597259864,-0.160400620938332,128.160165327569,-0.328069918500694,68.7720918609586
"135","YAL016C-A",0.225,1.3868733617454,6.16388160775733,0.0751807228915663,0.315912775264124,4.20204492739139,0.322742649697956,8.54852320675105,-0.0539099569925694,1.32747967479675
"136","YAL016C-B",1.2125,2.15061810367348,1.77370565251421,0.250602409638554,1.09667496284928,4.37615489983125,-0.768504789298671,3.81456348688503,0.041554313177173,4.79921951219512
"137","YAL016W",194.187875,220.975297157069,1.13794590500086,95.996265060241,172.727321816017,1.79931293897345,0.0254834362191387,251.457934506236,0.0830134179931538,310.79050505779
"138","YAL017W",111.245625,174.56334379552,1.56917041722333,41.8624096385542,104.212845336586,2.489413443621,0.124363993506833,273.919635015515,0.0934255063954714,259.428858178894
"139","YAL018C",0,0,NA,0.334096385542169,2.92723962044015,NA,NA,NA,NA,25.647484277836
