"","ORF","AVGEXP_YPD","SD_YPD","CV_YPD","AVGEXP_YJM","SD_YJM","CV_YJM","DM_YPD","FF_YPD","DM_YJM","FF_YJM"
"2","YAL067C",0.0737666086444681,0.307169623467566,NA,0.101151334750278,0.316818040441131,NA,NA,1.27907706908364,NA,0.992311876029713
"10","YAL054C",0.609001611409607,0.940885269413982,1.54496351370268,0.421980268649653,0.697722900561793,1.65344911219314,0.108694571124732,1.45363341182492,-0.00293280965104908,1.15364931049072
"11","YAL054C",0.0609898263884042,0.27373354489128,4.48818370375496,0.0298200553870897,0.15081033710155,5.05734597551558,0.0384347644175838,1.22856643535212,0,0.762700051406671
"12","YAL049C",1.24846546232564,1.24358632845838,0.996091895198951,2.4567508344187,1.77619831471013,0.722986755443762,0.0296584856860957,1.23872626275762,-0.0549467749806333,1.28416785657695
"13","YAL048C",0.478072677346541,0.671083554133036,1.40372706061716,0.69096339947843,0.834856212655987,1.20824954445659,-0.0754745848588863,0.942018144871685,-0.0633189087925344,1.00871463862835
"14","YAL047C",0.326109292432707,0.616344638719493,1.88999410020393,0.290781663465624,0.505795463699536,1.7394338338646,0.0206766908030186,1.16488773087216,-0.11102528284964,0.879797742574207
"15","YAL046C",0.952905849720793,0.970925834070502,1.01891056115878,0.798661777858225,0.932540364936549,1.16762863929378,-0.0383387021894172,0.989286586436336,-0.0428784859055102,1.08886083739739
"16","YAL044C",3.22150443953277,2.31002204996802,0.717063127904009,3.47725666775315,3.56564421325792,1.02541875793192,0.114637410796378,1.6564316366773,0.340211346608746,3.65627846038609
"17","YAL043C",1.07249140742008,1.11936406084322,1.04370445590413,0.873264038920064,1.17666612302495,1.34743453363784,0.00649778758308976,1.16828525808101,0.0582517937545787,1.58548056872557
"18","YAL040C",3.83865780386064,2.85638936606325,0.744111486882343,12.4309955790607,12.4370765808751,1.00048918059505,0.201874038254599,2.12547213829624,0.661812506916609,12.4431605573977
"20","YAL039C",2.03590464316595,1.81980889230201,0.893857626589079,0.934594303153077,1.04596118577071,1.11916066922505,0.125266184477783,1.62665005731877,-0.0374192419137624,1.17059862065057
"21","YAL036C",4.11385926275335,2.453699537907,0.596447126940549,4.10255404871579,2.27871631710968,0.55543846346716,0.0671600192431647,1.46350203975998,-0.120833222459628,1.26568668985295
"22","YAL034C",0.589382460817445,0.781184346498971,1.3254285602858,0.401855829380013,0.790580611759207,1.96732398526835,-0.033298766885057,1.03540404369794,0.129767514847225,1.55532819980201
"23","YAL032C",0.899681582903184,0.884216623926158,0.982810630704342,0.436219529607211,0.992634144760284,2.27553806601481,-0.122377136611541,0.869017497840131,0.277386543316733,2.25877678202808
"24","YAL031C",0.376452191756681,0.67346625939893,1.78898217129846,0.534643153351512,1.06292555033615,1.98810280029399,0.026959459573816,1.20481913103575,0.26118395867259,2.11320526312732
"25","YAL029C",1.28785896863079,1.25572356073715,0.97504741693277,3.92005854462159,5.71167166415553,1.45703733736122,0.0269086664124228,1.22439001427838,0.696094300417529,8.32211887342269
"27","YAL025C",6.04247249179883,2.80031304979366,0.463438278551437,4.40373961578693,5.79433178620958,1.3157752936703,-0.00574216075831702,1.2977722592015,0.699105612020731,7.62403860762306
"28","YAL024C",0.182072903806196,0.415388936535265,2.28144291573126,0.303241317579316,0.581538342008392,1.91774111341633,-0.0584656275989394,0.947686146531524,0.000158857939718482,1.11523998749746
