"ORF","AVGEXP_DMSO","SD_DMSO","CV_DMSO","DM_DMSO","FF_DMSO","AVGEXP_gua","SD_gua","CV_gua","DM_gua","FF_gua","AVGEXP_MPA","SD_MPA","CV_MPA","DM_MPA","FF_MPA","AVGEXP_guaMPA","SD_guaMPA","CV_guaMPA","DM_guaMPA","FF_guaMPA"
"LSR1",0.0472103004291846,0.231939783870123,4.91290633106716,-0.049910855992733,1.13949843260188,0,0,NA,NA,NA,0,0,NA,NA,NA,0.0522388059701493,0.23913590322514,4.57774443316696,-0.0380072603254089,1.09470304975923
"RDN5-1",0.0686695278969957,0.300152888869588,4.37097644416338,0.0436816509149214,1.31196120689656,0,0,NA,NA,NA,0.0588235294117647,0.282545452579066,4.80327269384412,2.22044604925031e-16,1.35714285714286,0.0746268656716418,0.315085522464209,4.2221460010204,0.0432975927837067,1.33033707865168
"RUF20",0.171673819742489,0.421067236063052,2.45271665006728,-0.0403037723890891,1.03275862068965,0.10077519379845,0.31425190619879,3.11834583843415,-0.0635605348921506,0.979946123914997,0,0,NA,NA,NA,0.111940298507463,0.33876726869635,3.02632093368739,-0.0728442066510082,1.02521847690387
"TLC1",0.120171673819742,0.363384433160164,3.02387760451137,-0.0206212303573859,1.09883004926108,0,0,NA,NA,NA,0.117647058823529,0.358958967872717,3.0511512269181,-0.0591850244648005,1.09523809523809,0.0671641791044776,0.265289360612859,3.94986381356924,-0.0439253863161018,1.04785684560965
"YAL001C",0.128755364806867,0.4361733039774,3.38761266089114,0.118560598327385,1.47758620689656,0,0,NA,NA,NA,0,0,NA,NA,NA,0.100746268656716,0.378642611857295,3.75837851769464,0.0806971061491981,1.42308225828825
"YAL002W",0.0257510729613734,0.183893400087732,7.14119370340691,-0.0986172221674433,1.3132183908046,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"YAL003W",5.18884120171674,3.77816491393849,0.728132692264408,0.0307742916032176,2.75100539060496,1.95348837209302,1.9641156864669,1.00544017283425,0.0406062713388335,1.97480081526774,5.70588235294118,3.75063019914738,0.657326942118613,-0.024611892696659,2.46539027982327,3.1044776119403,2.61017501017969,0.840777527317496,-0.0373820224954476,2.1945764909248
"YAL005C",0.497854077253219,0.942870084293773,1.89386835896939,0.13858065489416,1.78567181926278,0.197674418604651,0.651005222866205,3.29332053920551,0.272429748590222,2.14396887159533,0.341176470588235,0.588641316456614,1.72532799651076,-0.0813991235075303,1.01559934318555,0.764925373134328,1.08477771503621,1.41814842746198,0.0021555315637875,1.5383758107244
"YAL007C",0.248927038626609,0.547573927301683,2.19973663898779,0.0126695199559957,1.20451843043995,0.0852713178294574,0.293403687375554,3.44082506104059,-0.0627250117472,1.00955076052352,0.294117647058824,0.552559615653859,1.87870269322312,-0.061364394931989,1.03809523809524,0.264925373134328,0.593946675709194,2.24193956464879,0.0100030336978202,1.33159255156407
"YAL008W",0.0729613733905579,0.306254181198484,4.19748377760275,0.0418726443755817,1.28549695740365,0,0,NA,NA,NA,0,0,NA,NA,NA,0.0634328358208955,0.259079628491018,4.08431414327017,-0.0459473342189474,1.05816259087905
"YAL009W",0.0901287553648069,0.341821289119662,3.79258858880386,0.0427288394040695,1.29638752052546,0.0348837209302326,0.2221757157823,6.36903718575927,0.0119303236400132,1.41504539559015,0,0,NA,NA,NA,0.0335820895522388,0.200166234230339,5.96050564152564,-0.0625150916005048,1.19309196837288
"YAL011W",0.296137339055794,0.783907441990702,2.64710773889614,0.237409259440221,2.07508745627186,0.0387596899224806,0.212566337558274,5.48421150900348,-0.0554099381996991,1.16575875486381,0.305882352941176,0.617667066502672,2.01929617895104,0.00171361382779289,1.24725274725275,0.152985074626866,0.444389123022035,2.90478743829038,0.0342629745160706,1.29085594226729
"YAL012W",0.819742489270386,1.04309962609241,1.272472318741,-0.040803115190361,1.32731539989168,0.51937984496124,0.814277031929787,1.56778712117825,-0.0249395765209307,1.27661304373077,1.49411764705882,1.62292746523773,1.08621129563155,0.0840542984394141,1.76284214473191,1.70149253731343,2.00572159391668,1.17880128765278,0.0978707026158795,2.36434719758197
"YAL013W",0.188841201716738,0.462801565824472,2.45074465538868,-0.0171372016099377,1.13420846394984,0.13953488372093,0.36891229429169,2.64387144242378,-0.0633429751679291,0.975356679636837,0.470588235294118,0.946022189588214,2.01029715287496,0.197941881674303,1.90178571428572,0.350746268656716,0.726774853849714,2.07208149820982,0.0486722495139692,1.50593672802614
"YAL014C",0.158798283261803,0.421023299376329,2.65130888526175,-0.0206234598709955,1.11626281453868,0,0,NA,NA,NA,0.105882352941176,0.345843668638382,3.26630131491805,-0.0662697202451652,1.12962962962963,0.156716417910448,0.447288587299847,2.85412717610378,0.0189809004845746,1.27661851257356
"YAL016W",0.0429184549356223,0.241857177242705,5.63527222975503,0.0136451073121304,1.36293103448276,0.0232558139534884,0.17488701317856,7.52014156667808,-0.101958460897194,1.31517509727627,0,0,NA,NA,NA,0.0671641791044776,0.265289360612859,3.94986381356923,-0.0439253863161022,1.04785684560965
"YAL017W",0.0472103004291846,0.231939783870123,4.91290633106716,-0.0499108559927328,1.13949843260188,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"YAL019W",0.0858369098712446,0.323526246087781,3.76908076692265,0.037328259328659,1.21939655172414,0,0,NA,NA,NA,0.141176470588235,0.38275135458908,2.71115542833932,-0.049040535678886,1.03769841269841,0.0783582089552239,0.331574823705196,4.23152632157107,0.0729692191675364,1.40306759407883
"YAL020C",0.0772532188841202,0.283219194843774,3.66611513325552,-0.0443328821906779,1.03831417624521,0.0542635658914729,0.243517591607372,4.48768133105014,-0.0380749426778151,1.0928293496387,0.0941176470588235,0.365914685989739,3.88784353864097,0.00956097601286943,1.42261904761905,0.0522388059701493,0.23913590322514,4.57774443316697,-0.0380072603254071,1.09470304975924
"YAL022C",0.0987124463519313,0.351901324175527,3.56491341447382,0.0409084332537015,1.25449775112444,0.062015503875969,0.271956107253199,4.38529222945783,0.0152952985169212,1.19260700389105,0.117647058823529,0.358958967872717,3.0511512269181,-0.0591850244648003,1.09523809523809,0.0746268656716418,0.302965756748883,4.05974114043504,0.00922778412454739,1.22996254681648
"YAL023C",0.0729613733905579,0.276677147938187,3.79210443938809,-0.0463448286280386,1.04918864097363,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"YAL025C",0.266094420600858,0.62111602115545,2.33419407950355,0.0873491894533724,1.44980533926585,0.0891472868217054,0.298827881456535,3.35206927894722,-0.0362884480469692,1.00169176112333,0.494117647058824,0.781078762746399,1.58075463889152,0.00982910074758198,1.23469387755102,0.138059701492537,0.414583365813076,3.00292816318661,0.0234171017423395,1.24496406518878
"YAL026C",0.0343347639484979,0.224811433324687,6.5476329955815,0.0091668487503267,1.47198275862069,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"YAL029C",0.163090128755365,0.424480286224834,2.60273438658912,-0.0160609547431437,1.10480943738657,0.0775193798449612,0.308439100328229,3.97886439423416,0.0370631314677763,1.22723735408561,0,0,NA,NA,NA,0.186567164179104,0.492154332357083,2.63794722143396,0.0294308163026039,1.29827715355805
"YAL030W",0.133047210300429,0.352793876524672,2.65164429774995,-0.101180482089324,0.935483870967746,0.112403100775194,0.393232191868703,3.49841053455605,0.077932968061784,1.37568764256004,0,0,NA,NA,NA,0.167910447761194,0.438946772517943,2.61417188966242,-0.0279973297189949,1.14748231377445
"YAL031C",0.0343347639484979,0.204742499003816,5.96312528348614,-0.0720539407317902,1.22090517241379,0.0310077519379845,0.194795492726003,6.28215464041359,-0.0718726929071112,1.22373540856031,0,0,NA,NA,NA,0,0,NA,NA,NA
