"","ORF","AVGEXP_2hr","SD_2hr","CV_2hr","DM_2hr","FF_2hr","AVGEXP_16hr","SD_16hr","CV_16hr","DM_16hr","FF_16hr","AVGEXP_36hr","SD_36hr","CV_36hr","DM_36hr","FF_36hr"
"1","YAL001C",1.33057611791892,2.45361842759544,1.84402710566684,0.0245304608168985,4.52453888744965,2.05008422088372,2.89251589594865,1.41092539832426,0.089107929408513,4.08112414265061,2.38552131197778,3.03052989274695,1.27038474883061,0.00213982802867768,3.84993895662098
"2","YAL002W",1.10998187310811,2.43360364097064,2.19247151681513,0.0813253654873102,5.33560666604573,1.21300075355814,2.29639367606151,1.89315107127956,0.0629188382805296,4.34742014791546,2.32966161026667,3.24643502924387,1.3935221385531,0.076002656282333,4.52397908462562
"3","YAL003W",7.67617511891892,0.756570075292541,0.0985608149334526,0,0.0745681631750965,7.07527789234884,1.4393861009563,0.203438808037893,0.00246026079410311,0.292826992684861,6.88480793273333,1.58231311963598,0.229826762793626,-0.306770043082282,0.363657902011821
"4","YAL005C",6.21558523272973,2.7309560776098,0.43937231577636,0.273296675841755,1.19990649610294,7.51647573888372,1.52481772683767,0.20286338701921,0.0892313271198222,0.309329688653224,8.6611886862,1.33524332566722,0.154163980724111,-0.146533847695754,0.205846426320159
"5","YAL007C",2.92596665308108,2.62465665564524,0.897022067179558,-0.0734029185852068,2.35437493888348,3.96447418816279,2.79609625823751,0.705288047173103,0,1.97205326968035,3.0267817018,2.96718317226321,0.980309604256777,-0.053213813079385,2.90875816135872
"6","YAL008W",0.396358226972973,1.18694929950329,2.99463772599888,-0.0285051378906034,3.55448315114049,1.14564584788372,1.96923064693409,1.71888254173113,-0.040331115389702,3.3848761796569,1.9889423084,2.77508670170901,1.39525751450349,-0.0100247111421379,3.8719605739582
"7","YAL009W",1.02877894448649,2.14484976709015,2.08484998510613,0.0161213779781357,4.4716900049728,1.56075615118605,2.42503398544296,1.55375584046242,0.0102143713429162,3.76791071820185,1.36605228228889,2.29290705959404,1.67849143793542,-0.0625799276435924,3.84862486751029
"8","YAL010C",0.755946762513513,1.96319500137359,2.59700166562787,0.086767949830585,5.09842068851953,0.567253349325581,1.43127168210566,2.52316127142717,-0.0365418328479615,3.61132927717942,0.964753771511111,2.22578625696551,2.30710293412922,0.0471123398115428,5.13511800418962
"9","YAL011W",1.58441310537838,2.31952177466993,1.46396275491296,-0.0810298018341972,3.3956934873264,1.95361227634884,2.65151000124796,1.35723451032128,0.0312607157797082,3.59872087815577,1.731457692,2.61563867355099,1.5106569947601,-0.0231459046779013,3.95133285796484
"10","YAL012W",6.20377522418919,2.54740294086914,0.410621411771423,0.210934510433382,1.04601819193036,6.06553646637209,1.93490349633812,0.318999565341897,-0.0140591737879898,0.617233374310379,5.47040788311111,3.24747912986951,0.593644788333884,0.0961240969662796,1.92784906067009
